Source,Target,Type,Id,Label,Weight
47,4,Directed,985,,113
47,6.5,Directed,986,,34
47,8,Directed,987,,26
47,7.25,Directed,988,,23
47,4.7,Directed,989,,18
47,9,Directed,990,,44
47,9.5,Directed,993,,3
47,8.75,Directed,994,,8
47,2.115,Directed,995,,4
30,30,Directed,996,,21
30,4,Directed,997,,149
30,13.5,Directed,998,,29
30,15,Directed,999,,5
30,14.25,Directed,1000,,2
30,4.1625,Directed,1001,,125
35,57,Directed,1002,,5
35,6,Directed,1004,,55
35,7.5,Directed,1005,,61
35,6.75,Directed,1006,,63
35,30.57777778,Directed,1007,,3
57,35,Directed,1008,,5
57,5,Directed,1009,,6
57,16.5,Directed,1010,,3
57,18,Directed,1011,,22
57,17.25,Directed,1012,,2
57,30.57777778,Directed,1013,,1
23,7.5,Directed,1017,,39
23,6.75,Directed,1018,,65
51,43,Directed,1020,,7
51,18.75,Directed,1024,,8
51,16.51785714,Directed,1025,,2
48,43,Directed,1026,,10
48,5,Directed,1027,,27
48,12,Directed,1028,,25
48,13.5,Directed,1029,,13
48,12.75,Directed,1030,,6
48,16.51785714,Directed,1031,,2
34,32,Directed,1032,,5
34,6,Directed,1033,,19
34,18,Directed,1034,,38
34,19.5,Directed,1035,,8
34,18.75,Directed,1036,,16
34,14.76372549,Directed,1037,,2
31,55,Directed,1038,,3
31,6.5,Directed,1040,,16
31,8,Directed,1041,,34
31,7.25,Directed,1042,,12
32,57,Directed,1044,,2
32,6,Directed,1045,,194
32,8,Directed,1046,,31
32,9.5,Directed,1047,,6
32,8.75,Directed,1048,,5
32,29.52745098,Directed,1049,,14
57,32,Directed,1050,,2
57,6,Directed,1051,,7
57,17,Directed,1052,,8
57,18.5,Directed,1053,,12
57,17.75,Directed,1054,,7
57,29.52745098,Directed,1055,,1
32,43,Directed,1056,,4
32,7,Directed,1058,,51
32,8.5,Directed,1059,,16
32,7.75,Directed,1060,,9
32,14.76372549,Directed,1061,,94
43,32,Directed,1062,,5
43,6,Directed,1063,,35
43,9,Directed,1064,,46
43,10.5,Directed,1065,,3
43,14.76372549,Directed,1067,,2
25,25,Directed,1080,,7
25,6,Directed,1081,,83
25,7,Directed,1082,,47
25,8.5,Directed,1083,,5
25,7.75,Directed,1084,,12
25,17.71647059,Directed,1085,,1
2,1,Directed,1086,,12
2,23,Directed,1088,,12
2,24.5,Directed,1089,,1
2,23.75,Directed,1090,,1
2,8.671875,Directed,1091,,7
7,9,Directed,1092,,78
7,13.06666667,Directed,1094,,1
7,14.5,Directed,1095,,13
7,13.78333333,Directed,1096,,1
